class,val_count,accuracy
PMMA,2,0.0
PVC,26,0.07692307692307397
TPU,21,0.3333333333333175
PP,102,0.3529411764705848
SAN,21,0.38095238095236283
PC,98,0.39795918367346533
PA,20,0.44999999999997753
EVA,6,0.4999999999999167
PTFE,20,0.499999999999975
PET,186,0.5376344086021476
PS,105,0.5619047619047566
PBT,20,0.6499999999999676
PE,102,0.6568627450980328
ABS,294,0.7925170068027183
HDPE,204,0.9460784313725444
LDPE,82,0.9878048780487685
PEEK,28,0.9999999999999644
